,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
311,trairi,29,BR,1660789375,81,-3.2778,-39.2689,298.81,6.22
312,lebu,74,CL,1660789451,79,-37.6167,-73.65,281.27,3.46
313,hovd,33,MN,1660789451,16,48.0056,91.6419,288.5,1.51
314,pandan,100,PH,1660789452,85,14.0453,124.1694,299.51,2.73
315,mayskiy,37,RU,1660789452,62,47.6931,40.1025,292.82,2.21
316,hambantota,20,LK,1660789452,89,6.1241,81.1185,300.34,2.57
317,vardo,100,NO,1660789453,93,70.3705,31.1107,283.14,8.23
318,anadyr,40,RU,1660789453,58,64.75,177.4833,286.43,4.0
319,tabuk,100,PH,1660789453,95,17.4189,121.4443,297.08,1.58
320,makungu,2,TZ,1660789454,94,-8.7333,35.2833,285.33,1.32
321,mezen,52,RU,1660789454,85,65.8522,44.24,290.17,2.66
322,harper,4,LR,1660789454,79,4.375,-7.7169,296.63,3.02
323,garowe,54,SO,1660789455,70,8.4054,48.4845,296.49,10.5
324,sao jose da coroa grande,15,IN,1660789408,89,20.5113,76.2129,294.95,4.63
325,lander,0,US,1660789454,25,42.833,-108.7307,302.37,3.09
326,labuhan,21,ID,1660789455,67,-6.8844,112.2051,300.78,2.31
327,marienburg,100,PL,1660789456,81,54.0359,19.0266,294.33,1.67
328,gerash,7,IR,1660789456,29,27.6652,54.1371,297.23,1.9
329,arlit,7,NE,1660789456,39,18.7369,7.3853,305.01,2.09
330,palotina,100,BR,1660789456,93,-24.2839,-53.84,292.19,5.56
331,nizhniy tsasuchey,53,RU,1660789457,85,45.3926,39.2364,296.16,0.83
332,gorin,0,RU,1660789457,39,51.1983,136.6669,301.99,4.35
333,saint-francois,0,FR,1660789458,94,46.4154,3.9054,289.84,1.03
334,ginir,50,ET,1660789458,78,7.1333,40.7,287.04,3.56
335,fonte boa,0,IT,1660789458,90,45.7839,11.8746,295.85,2.26
336,sayyan,100,YE,1660789459,76,15.1718,44.3244,288.2,1.63
337,mgachi,0,RU,1660789459,52,51.05,142.2667,298.85,6.54
